"637","Bleecker St","6N"
"636","Astor Pl","6N"
"635","14 St - Union Sq","6N"
"634","23 St","6N"
"633","28 St","6N"
"632","33 St","6N"
"631","Grand Central - 42 St","6N"
"630","51 St","6N"
"629","59 St","6N"
"628","68 St - Hunter College","6N"
"627","77 St","6N"
"626","86 St","6N"
"625","96 St","6N"
"624","103 St","6N"
"623","110 St","6N"
"622","116 St","6N"
"621","125 St","6N"
"619","3 Av - 138 St","6N"
"618","Brook Av","6N"
"617","Cypress Av","6N"
"616","E 143 St - St Mary's St","6N"
"615","E 149 St","6N"
"614","Longwood Av","6N"
"613","Hunts Point Av","6N"
"612","Whitlock Av","6N"
"611","Elder Av","6N"
"610","Morrison Av- Sound View","6N"
"609","St Lawrence Av","6N"
"608","Parkchester","6N"
"607","Castle Hill Av","6N"
"606","Zerega Av","6N"
"604","Westchester Sq - E Tremont Av","6N"
"603","Middletown Rd","6N"
"602","Buhre Av","6N"
"601","Pelham Bay Park","6N"
"701","Flushing - Main St","7S"
"702","Mets - Willets Point","7S"
"705","111 St","7S"
"706","103 St - Corona Plaza","7S"
"707","Junction Blvd","7S"
"708","90 St - Elmhurst Av","7S"
"709","82 St - Jackson Hts","7S"
"710","74 St - Broadway","7S"
"711","69 St","7S"
"712","Woodside - 61 St","7S"
"713","52 St","7S"
"714","46 St","7S"
"715","40 St","7S"
"716","33 St","7S"
"718","Queensboro Plaza","7S"
"719","Court Sq","7S"
"720","Hunters Point Av","7S"
"721","Vernon Blvd - Jackson Av","7S"
"723","Grand Central - 42 St","7S"
"724","5 Av","7S"
"725","Times Sq - 42 St","7S"
"725","Times Sq - 42 St","7N"
"724","5 Av","7N"
"723","Grand Central - 42 St","7N"
"721","Vernon Blvd - Jackson Av","7N"
"720","Hunters Point Av","7N"
"719","Court Sq","7N"
"718","Queensboro Plaza","7N"
"716","33 St","7N"
"715","40 St","7N"
"714","46 St","7N"
"713","52 St","7N"
"712","Woodside - 61 St","7N"
"711","69 St","7N"
"710","74 St - Broadway","7N"
"709","82 St - Jackson Hts","7N"
"708","90 St - Elmhurst Av","7N"
"707","Junction Blvd","7N"
"706","103 St - Corona Plaza","7N"
"705","111 St","7N"
"702","Mets - Willets Point","7N"
"701","Flushing - Main St","7N"
"901","Grand Central - 42 St","GN"
"902","Times Sq - 42 St","GN"
"902","Times Sq - 42 St","GS"
"901","Grand Central - 42 St","GS"
"A02","Inwood - 207 St","AS"
"A03","Dyckman St","AS"
"A05","190 St","AS"
"A06","181 St","AS"
"A07","175 St","AS"
"A09","168 St","AS"
"A10","163 St - Amsterdam Av","AS"
"A11","155 St","AS"
"A12","145 St","AS"
"A14","135 St","AS"
"A15","125 St","AS"
"A16","116 St","AS"
"A17","Cathedral Pkwy (110 St)","AS"
"A18","103 St","AS"
"A19","96 St","AS"
"A20","86 St","AS"
"A21","81 St - Museum of Natural History","AS"
"A22","72 St","AS"
"A24","59 St - Columbus Circle","AS"
"A25","50 St","AS"
"A27","42 St - Port Authority Bus Terminal","AS"
"A28","34 St - Penn Station","AS"
"A30","23 St","AS"
"A31","14 St","AS"
"A32","W 4 St","AS"
"A33","Spring St","AS"
"A34","Canal St","AS"
"A36","Chambers St","AS"
"A38","Fulton St","AS"
"A40","High St","AS"
"A41","Jay St - MetroTech","AS"
"A42","Hoyt - Schermerhorn Sts","AS"
"A43","Lafayette Av","AS"
"A44","Clinton - Washington Avs","AS"
"A45","Franklin Av","AS"
"A46","Nostrand Av","AS"
"A47","Kingston - Throop Avs","AS"
"A48","Utica Av","AS"
"A49","Ralph Av","AS"
"A50","Rockaway Av","AS"
"A51","Broadway Jct","AS"
"A52","Liberty Av","AS"
"A53","Van Siclen Av","AS"
"A54","Shepherd Av","AS"
"A55","Euclid Av","AS"
"A57","Grant Av","AS"
"A59","80 St","AS"
"A60","88 St","AS"
"A61","Rockaway Blvd","AS"
"H02","Aqueduct - N Conduit Av","AS"
"H03","Howard Beach - JFK Airport","AS"
"H04","Broad Channel","AS"
"H06","Beach 67 St","AS"
"H07","Beach 60 St","AS"
"H08","Beach 44 St","AS"
"H09","Beach 36 St","AS"
"H10","Beach 25 St","AS"
"H11","Far Rockaway - Mott Av","AS"
"H11","Far Rockaway - Mott Av","AN"
"H10","Beach 25 St","AN"
"H09","Beach 36 St","AN"
"H08","Beach 44 St","AN"
"H07","Beach 60 St","AN"
"H06","Beach 67 St","AN"
"H04","Broad Channel","AN"
"H03","Howard Beach - JFK Airport","AN"
"H02","Aqueduct - N Conduit Av","AN"
"A61","Rockaway Blvd","AN"
"A60","88 St","AN"
"A59","80 St","AN"
"A57","Grant Av","AN"
"A55","Euclid Av","AN"
"A54","Shepherd Av","AN"
"A53","Van Siclen Av","AN"
"A52","Liberty Av","AN"
"A51","Broadway Jct","AN"
"A50","Rockaway Av","AN"
"A49","Ralph Av","AN"
"A48","Utica Av","AN"
"A47","Kingston - Throop Avs","AN"
"A46","Nostrand Av","AN"
"A45","Franklin Av","AN"
"A44","Clinton - Washington Avs","AN"
"A43","Lafayette Av","AN"
"A42","Hoyt - Schermerhorn Sts","AN"
"A41","Jay St - MetroTech","AN"
"A40","High St","AN"
"A38","Fulton St","AN"
"A36","Chambers St","AN"
"A34","Canal St","AN"
"A33","Spring St","AN"
"A32","W 4 St","AN"
"A31","14 St","AN"
"A30","23 St","AN"
"A28","34 St - Penn Station","AN"
"A27","42 St - Port Authority Bus Terminal","AN"
"A25","50 St","AN"
"A24","59 St - Columbus Circle","AN"
"A22","72 St","AN"
"A21","81 St - Museum of Natural History","AN"
"A20","86 St","AN"
"A19","96 St","AN"
"A18","103 St","AN"
"A17","Cathedral Pkwy (110 St)","AN"
"A16","116 St","AN"
"A15","125 St","AN"
"A14","135 St","AN"
"A12","145 St","AN"
"A11","155 St","AN"
"A10","163 St - Amsterdam Av","AN"
"A09","168 St","AN"
"A07","175 St","AN"
"A06","181 St","AN"
"A05","190 St","AN"
"A03","Dyckman St","AN"
"A02","Inwood - 207 St","AN"
"A65","Ozone Park - Lefferts Blvd","AN"
"A64","111 St","AN"
"A63","104 St","AN"
"H15","Rockaway Park - Beach 116 St","AN"
"H14","Beach 105 St","AN"
"H13","Beach 98 St","AN"
"H12","Beach 90 St","AN"
"A63","104 St","AS"
"A64","111 St","AS"
"A65","Ozone Park - Lefferts Blvd","AS"
"H12","Beach 90 St","AS"
"H13","Beach 98 St","AS"
"H14","Beach 105 St","AS"
"H15","Rockaway Park - Beach 116 St","AS"
"D03","Bedford Park Blvd","BS"
"D04","Kingsbridge Rd","BS"
"D05","Fordham Rd","BS"
"D06","182-183 Sts","BS"
"D07","Tremont Av","BS"
"D08","174-175 Sts","BS"
"D09","170 St","BS"
"D10","167 St","BS"
"D11","161 St - Yankee Stadium","BS"
"D12","155 St","BS"
"D13","145 St","BS"
"A14","135 St","BS"
"A15","125 St","BS"
"A16","116 St","BS"
"A17","Cathedral Pkwy (110 St)","BS"
"A18","103 St","BS"
"A19","96 St","BS"
"A20","86 St","BS"
"A21","81 St - Museum of Natural History","BS"
"A22","72 St","BS"
"A24","59 St - Columbus Circle","BS"
"D14","7 Av","BS"
"D15","47-50 Sts - Rockefeller Ctr","BS"
"D16","42 St - Bryant Pk","BS"
"D17","34 St - Herald Sq","BS"
"D20","W 4 St","BS"
"D21","Broadway-Lafayette St","BS"
"D22","Grand St","BS"
"R30","DeKalb Av","BS"
"D24","Atlantic Av - Barclays Ctr","BS"
"D25","7 Av","BS"
"D26","Prospect Park","BS"
"D28","Church Av","BS"
"D31","Newkirk Av","BS"
"D35","Kings Hwy","BS"
"D39","Sheepshead Bay","BS"
"D40","Brighton Beach","BS"
"D40","Brighton Beach","BN"
"D39","Sheepshead Bay","BN"
"D35","Kings Hwy","BN"
"D31","Newkirk Av","BN"
"D28","Church Av","BN"
"D26","Prospect Park","BN"
"D25","7 Av","BN"
"D24","Atlantic Av - Barclays Ctr","BN"
"R30","DeKalb Av","BN"
"D22","Grand St","BN"
"D21","Broadway-Lafayette St","BN"
"D20","W 4 St","BN"
"D17","34 St - Herald Sq","BN"
"D16","42 St - Bryant Pk","BN"
"D15","47-50 Sts - Rockefeller Ctr","BN"
"D14","7 Av","BN"
"A24","59 St - Columbus Circle","BN"
"A22","72 St","BN"
"A21","81 St - Museum of Natural History","BN"
"A20","86 St","BN"
"A19","96 St","BN"
"A18","103 St","BN"
"A17","Cathedral Pkwy (110 St)","BN"
"A16","116 St","BN"
"A15","125 St","BN"
"A14","135 St","BN"
"D13","145 St","BN"
"D12","155 St","BN"
"D11","161 St - Yankee Stadium","BN"
"D10","167 St","BN"
"D09","170 St","BN"
"D08","174-175 Sts","BN"
"D07","Tremont Av","BN"
"D06","182-183 Sts","BN"
"D05","Fordham Rd","BN"
"D04","Kingsbridge Rd","BN"
"D03","Bedford Park Blvd","BN"
"A55","Euclid Av","CN"
"A54","Shepherd Av","CN"
"A53","Van Siclen Av","CN"
"A52","Liberty Av","CN"
"A51","Broadway Jct","CN"
"A50","Rockaway Av","CN"
"A49","Ralph Av","CN"
"A48","Utica Av","CN"
"A47","Kingston - Throop Avs","CN"
"A46","Nostrand Av","CN"
"A45","Franklin Av","CN"
"A44","Clinton - Washington Avs","CN"
"A43","Lafayette Av","CN"
"A42","Hoyt - Schermerhorn Sts","CN"
"A41","Jay St - MetroTech","CN"
"A40","High St","CN"
"A38","Fulton St","CN"
"A36","Chambers St","CN"
"A34","Canal St","CN"
"A33","Spring St","CN"
"A32","W 4 St","CN"
"A31","14 St","CN"
"A30","23 St","CN"
"A28","34 St - Penn Station","CN"
"A27","42 St - Port Authority Bus Terminal","CN"
"A25","50 St","CN"
"A24","59 St - Columbus Circle","CN"
"A22","72 St","CN"
"A21","81 St - Museum of Natural History","CN"
"A20","86 St","CN"
"A19","96 St","CN"
"A18","103 St","CN"
"A17","Cathedral Pkwy (110 St)","CN"
"A16","116 St","CN"
"A15","125 St","CN"
"A14","135 St","CN"
"A12","145 St","CN"
"A11","155 St","CN"
"A10","163 St - Amsterdam Av","CN"
"A09","168 St","CN"
"A09","168 St","CS"
"A10","163 St - Amsterdam Av","CS"
"A11","155 St","CS"
"A12","145 St","CS"
"A14","135 St","CS"
"A15","125 St","CS"
"A16","116 St","CS"
"A17","Cathedral Pkwy (110 St)","CS"
"A18","103 St","CS"
"A19","96 St","CS"
"A20","86 St","CS"
"A21","81 St - Museum of Natural History","CS"
"A22","72 St","CS"
"A24","59 St - Columbus Circle","CS"
"A25","50 St","CS"
"A27","42 St - Port Authority Bus Terminal","CS"
"A28","34 St - Penn Station","CS"
"A30","23 St","CS"
"A31","14 St","CS"
"A32","W 4 St","CS"
"A33","Spring St","CS"
"A34","Canal St","CS"
"A36","Chambers St","CS"
"A38","Fulton St","CS"
"A40","High St","CS"
"A41","Jay St - MetroTech","CS"
"A42","Hoyt - Schermerhorn Sts","CS"
"A43","Lafayette Av","CS"
"A44","Clinton - Washington Avs","CS"
"A45","Franklin Av","CS"
"A46","Nostrand Av","CS"
"A47","Kingston - Throop Avs","CS"
"A48","Utica Av","CS"
"A49","Ralph Av","CS"
"A50","Rockaway Av","CS"
"A51","Broadway Jct","CS"
"A52","Liberty Av","CS"
"A53","Van Siclen Av","CS"
"A54","Shepherd Av","CS"
"A55","Euclid Av","CS"
"D01","Norwood - 205 St","DS"
"D03","Bedford Park Blvd","DS"
"D04","Kingsbridge Rd","DS"
"D05","Fordham Rd","DS"
"D06","182-183 Sts","DS"
"D07","Tremont Av","DS"
"D08","174-175 Sts","DS"
"D09","170 St","DS"
"D10","167 St","DS"
"D11","161 St - Yankee Stadium","DS"
"D12","155 St","DS"
"D13","145 St","DS"
"A15","125 St","DS"
"A24","59 St - Columbus Circle","DS"
"D14","7 Av","DS"
"D15","47-50 Sts - Rockefeller Ctr","DS"
"D16","42 St - Bryant Pk","DS"
"D17","34 St - Herald Sq","DS"
"D20","W 4 St","DS"
"D21","Broadway-Lafayette St","DS"
"D22","Grand St","DS"
"R30","DeKalb Av","DS"
